CANDO_ID	DRUGBANK_ID	GENERIC_NAME	DRUG_GROUPS
0	DB00006	bivalirudin	approved;investigational
1	DB00007	leuprolide	approved;investigational
2	DB00014	goserelin	approved
3	DB00027	gramicidin_d	approved
4	DB00035	desmopressin	approved
5	DB00050	cetrorelix	approved;investigational
6	DB00080	daptomycin	approved;investigational
7	DB00091	cyclosporine	approved;investigational;vet_approved
9	DB00104	octreotide	approved;investigational
10	DB00106	abarelix	approved;investigational;withdrawn
11	DB00114	pyridoxal_phosphate	approved;investigational;nutraceutical
12	DB00115	cyanocobalamin	approved;nutraceutical
15	DB00118	ademetionine	approved;investigational;nutraceutical
16	DB00119	pyruvic_acid	approved;investigational;nutraceutical
17	DB00120	phenylalanine	approved;investigational;nutraceutical
18	DB00121	biotin	approved;investigational;nutraceutical
19	DB00122	choline	approved;nutraceutical
20	DB00123	l-lysine	approved;nutraceutical
22	DB00126	ascorbic_acid	approved;nutraceutical
24	DB00128	aspartic_acid	approved;nutraceutical
25	DB00129	ornithine	approved;nutraceutical
26	DB00130	l-glutamine	approved;investigational;nutraceutical
27	DB00131	adenosine_phosphate	approved;investigational;nutraceutical
28	DB00132	alpha-linolenic_acid	approved;investigational;nutraceutical
30	DB00134	methionine	approved;nutraceutical
31	DB00135	tyrosine	approved;investigational;nutraceutical
32	DB00136	calcitriol	approved;nutraceutical
33	DB00137	lutein	approved;investigational;nutraceutical
34	DB00138	cystine	approved;nutraceutical
35	DB00139	succinic_acid	approved;nutraceutical
36	DB00140	riboflavin	approved;investigational;nutraceutical;vet_approved
37	DB00141	n-acetylglucosamine	approved;investigational;nutraceutical
38	DB00142	glutamic_acid	approved;nutraceutical
39	DB00143	glutathione	approved;investigational;nutraceutical
40	DB00144	phosphatidyl_serine	approved;investigational;nutraceutical
41	DB00145	glycine	approved;nutraceutical;vet_approved
42	DB00146	calcifediol	approved;nutraceutical
44	DB00148	creatine	approved;investigational;nutraceutical
46	DB00150	tryptophan	approved;nutraceutical;withdrawn
47	DB00151	cysteine	approved;nutraceutical
48	DB00152	thiamine	approved;investigational;nutraceutical;vet_approved
49	DB00153	ergocalciferol	approved;nutraceutical
51	DB00155	citrulline	approved;investigational;nutraceutical
52	DB00156	threonine	approved;nutraceutical
53	DB00157	nadh	approved;nutraceutical
54	DB00158	folic_acid	approved;nutraceutical;vet_approved
55	DB00159	icosapent	approved;nutraceutical
57	DB00161	valine	approved;nutraceutical
58	DB00162	vitamin_a	approved;nutraceutical;vet_approved
59	DB00163	vitamin_e	approved;nutraceutical;vet_approved
60	DB00165	pyridoxine	approved;investigational;nutraceutical;vet_approved
61	DB00166	lipoic_acid	approved;investigational;nutraceutical
64	DB00169	cholecalciferol	approved;nutraceutical
65	DB00170	menadione	approved;nutraceutical
68	DB00173	adenine	approved;nutraceutical
69	DB00174	asparagine	approved;investigational;nutraceutical
70	DB00175	pravastatin	approved
71	DB00176	fluvoxamine	approved;investigational
72	DB00177	valsartan	approved;investigational
73	DB00178	ramipril	approved
74	DB00179	masoprocol	approved;investigational
75	DB00180	flunisolide	approved;investigational
76	DB00181	baclofen	approved
77	DB00182	amphetamine	approved;illicit;investigational
78	DB00183	pentagastrin	approved
79	DB00184	nicotine	approved
80	DB00185	cevimeline	approved
81	DB00186	lorazepam	approved
82	DB00187	esmolol	approved
83	DB00188	bortezomib	approved;investigational
84	DB00189	ethchlorvynol	approved;illicit;withdrawn
85	DB00190	carbidopa	approved
86	DB00191	phentermine	approved;illicit
87	DB00192	indecainide	approved
88	DB00193	tramadol	approved;investigational
89	DB00194	vidarabine	approved;investigational
90	DB00195	betaxolol	approved;investigational
91	DB00196	fluconazole	approved;investigational
92	DB00197	troglitazone	approved;investigational;withdrawn
93	DB00198	oseltamivir	approved
94	DB00199	erythromycin	approved;investigational;vet_approved
95	DB00200	hydroxocobalamin	approved
96	DB00201	caffeine	approved
97	DB00202	succinylcholine	approved
98	DB00203	sildenafil	approved;investigational
