CANDO_ID	INDICATION_NAME	MESH_ID	INDICATION_ID
621	ACTH Deficiency, Isolated	MESH:C562707	0
1100	ACTH Deficiency, Isolated	MESH:C562707	0
533	AIDS Dementia Complex	MESH:D015526	1
384	AIDS Dementia Complex	MESH:D015526	1
384	AIDS-Related Complex	MESH:D000386	2
818	AIDS-Related Complex	MESH:D000386	2
533	AIDS-Related Complex	MESH:D000386	2
776	AIDS-Related Complex	MESH:D000386	2
665	AIDS-Related Complex	MESH:D000386	2
564	AIDS-Related Opportunistic Infections	MESH:D017088	3
618	AIDS-Related Opportunistic Infections	MESH:D017088	3
903	AIDS-Related Opportunistic Infections	MESH:D017088	3
329	AIDS-Related Opportunistic Infections	MESH:D017088	3
1225	AIDS-Related Opportunistic Infections	MESH:D017088	3
413	AIDS-Related Opportunistic Infections	MESH:D017088	3
144	AIDS-Related Opportunistic Infections	MESH:D017088	3
261	AIDS-Related Opportunistic Infections	MESH:D017088	3
776	AIDS-Related Opportunistic Infections	MESH:D017088	3
1078	AIDS-Related Opportunistic Infections	MESH:D017088	3
984	AIDS-Related Opportunistic Infections	MESH:D017088	3
967	AIDS-Related Opportunistic Infections	MESH:D017088	3
876	AIDS-Related Opportunistic Infections	MESH:D017088	3
665	AIDS-Related Opportunistic Infections	MESH:D017088	3
392	AIDS-Related Opportunistic Infections	MESH:D017088	3
1095	AIDS-related Kaposi sarcoma	MESH:C554498	4
783	Abdomen, Acute	MESH:D000006	5
928	Abdominal Abscess	MESH:D018784	6
1032	Abdominal Abscess	MESH:D018784	6
792	Abdominal Abscess	MESH:D018784	6
558	Abdominal Neoplasms	MESH:D000008	7
489	Abdominal Neoplasms	MESH:D000008	7
343	Abdominal Pain	MESH:D015746	8
1406	Abdominal Pain	MESH:D015746	8
690	Abdominal Pain	MESH:D015746	8
714	Abdominal Pain	MESH:D015746	8
1100	Abdominal Pain	MESH:D015746	8
88	Abdominal Pain	MESH:D015746	8
740	Abdominal Pain	MESH:D015746	8
230	Abdominal Pain	MESH:D015746	8
188	Abdominal Pain	MESH:D015746	8
5065	Abdominal Pain	MESH:D015746	8
797	Abdominal Pain	MESH:D015746	8
803	Abdominal Pain	MESH:D015746	8
221	Abdominal Pain	MESH:D015746	8
102	Abdominal Pain	MESH:D015746	8
220	Abdominal Pain	MESH:D015746	8
919	Abdominal Pain	MESH:D015746	8
9	Abdominal Pain	MESH:D015746	8
209	Abdominal Pain	MESH:D015746	8
225	Abdominal Pain	MESH:D015746	8
108	Abdominal Pain	MESH:D015746	8
7431	Abdominal Pain	MESH:D015746	8
